CMPD_CHEMBLID,exp,smiles
CHEMBL1762530,91.82,CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C
CHEMBL744,97.13,Nc1nc2ccc(OC(F)(F)F)cc2s1
CHEMBL2171169,71.53,CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)ncnc34
CHEMBL364714,86.59,C[C@@H](C(=O)N)c1ccc(OS(=O)(=O)C(F)(F)F)cc1
CHEMBL257830,98.54,NS(=O)(=O)NC(=O)CCCc1c([nH]c2ccc(cc12)C#N)c3ccc(F)cc3
CHEMBL2158826,96.72,OC(=O)Cc1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL2177916,97.32,COc1ccc(cc1)C2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncnc5
CHEMBL514670,98.4,Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(N)c(Cl)c3
CHEMBL1922055,98,C[C@@](N1CCCCC1)(C(=O)O[C@H]2C[N+]3(Cc4cc(on4)c5ccccc5)CCC2CC3)c6ccccc6
CHEMBL2064327,98.81,Cc1cc(F)ccc1Oc2cccc3C(=O)C=C(Nc23)N4CCOCC4
CHEMBL581893,78.79,COc1ccc2c(C)nc(NC(=N)N)nc2c1
CHEMBL2338408,93.94,CC(C)(C)NC(=O)NCCN1CCOC(CNC(=O)c2cc(Cl)cc(Cl)c2)C1
CHEMBL41,95.72,CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2
CHEMBL2147226,88.11,COc1ncc(cn1)c2cccc(C#N)c2CCNC(=O)c3ccc(OCCC(F)(F)F)nc3
CHEMBL1304332,99.37,Cc1ccc(cc1)c2cc(C(=O)NCc3cn(C)nc3C)c4cc(Br)ccc4n2
CHEMBL1770298,99.57,Cc1ccc(s1)C(NC(=O)c2ccccc2O)C(=O)Nc3c(C)cccc3C
CHEMBL860,78.79,CN(C)CC\C=C\1/c2ccccc2COc3ccccc13
CHEMBL2335881,89.7,COCCNCc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1
CHEMBL2011924,98.09,CNc1c(Cl)cnc2[nH]c(nc12)c3ccc(OCCN4CCOCC4)cc3
CHEMBL1934269,98.58,C[C@H](NC(=O)c1c(C)nn(CC(F)(F)F)c1NS(=O)(=O)c2ccc(C)cc2)C(C)(C)C
CHEMBL1917433,98.96,Cc1c(Sc2ccc(Cl)cc2)c3c(NS(=O)(=O)C)cccc3n1CC(=O)O
CHEMBL934,11.18,CC(C)(C(=O)c1cccnc1)c2cccnc2
CHEMBL2071491,95.82,CC(C)C(NC(=O)c1ccccc1)C(=O)c2ccc(cc2)[N+](=O)[O-]
CHEMBL580,92.8,OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O
CHEMBL472363,99.28,FC(F)(F)c1ccc(cc1)n2ccc(CN3CCC(CC3)NC(=O)COc4cccc(Cl)c4)c2
CHEMBL572016,96.09,Cc1cnc([nH]1)c2cc(NC(=O)c3ccc(nc3C)C(F)(F)F)ccc2Cl
CHEMBL2152522,90.12,C1CCN(CC1)[C@H]([C@@H](N2CCCCC2)c3ccccc3)c4ccccc4
CHEMBL2011920,77.21,CNc1c(Br)cnc2[nH]c(nc12)c3cnn(c3)C4CCN(C)CC4
CHEMBL1487253,91.46,Brc1ccc(cc1)S(=O)(=O)CCC(=O)NCc2cccs2
CHEMBL118,98.94,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F
CHEMBL2177911,95.33,COc1cc(ccn1)C2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncnc5
CHEMBL2152524,83.04,C1CCN(C1)[C@H]([C@@H](N2CCCC2)c3ccccc3)c4ccccc4
CHEMBL62,91.99,CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccccc3
CHEMBL2179272,96.17,CC[C@H](N1CCC[C@@H](C1)N2C=C(C)C(=O)NC2=O)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3
CHEMBL2158841,88.59,OC(=O)[C@H](Cc1ccc(F)cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL66089,96.57,Nc1ncnc2nc(cc(c3cccc(Br)c3)c12)c4ccc(nc4)N5CCOCC5
CHEMBL2158836,68.63,OC(=O)[C@@H](Cc1ccccc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL1078411,54.02,N[C@@H](Cc1cccs1)C(=O)N[C@@]2(C[C@@H]2c3ccccc3)C#N
CHEMBL239336,97.32,CC1=C(C(NC(=O)N1)c2cccs2)C(=O)OCc3ccccc3
CHEMBL1683032,89.27,CCOc1cc2nnc(C(=O)N)c(Nc3cc(C)ccc3F)c2cc1N4CCN(C)CC4
CHEMBL1272,99.1,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N3CCCCC3)ccc1C(=O)O
CHEMBL1738764,95.91,CC(C)N(c1ccnc(Nc2cc(cc(c2)S(=O)(=O)C)N3CCOCC3)n1)c4cc(CO)ccc4C
CHEMBL1198335,98.81,COc1cccc(Nc2nc(NCC3CCCO3)c4ccccc4n2)c1
CHEMBL378997,99.66,COC(=O)N[C@@H](C)C#Cc1cnc(Oc2ccc(OC(C)C)cc2)s1
CHEMBL1071,99.95,OC(=O)CCc1oc(c2ccccc2)c(n1)c3ccccc3
CHEMBL177756,81.01,OC(=O)c1ccccc1C2=C3C=CC(=O)C=C3Oc4cc(O)ccc24
CHEMBL74355,34.94,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC
CHEMBL2178951,94.32,Cc1ncc(nc1c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3)C(=O)N
CHEMBL2337979,97.2,CC(C)(C)NC(=O)NCCN1CCCC(C1)NC(=O)c2cc(Cl)cc(Cl)c2
CHEMBL1240967,99.47,CC(C)(Cc1cccc(CC(=O)NCc2cccc(c2)c3ccc(O)cc3)c1)NC[C@H](O)c4ccc(O)c(NS(=O)(=O)C)c4
CHEMBL2335883,95.01,CN(C)CCNCc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1
CHEMBL38182,99.58,Brc1ccccc1NC(=O)Nc2ccc(C#N)c3[nH]nnc23
CHEMBL2205498,96.26,CC(C)COc1ccc(cc1)c2cc(O)nc(N)n2
CHEMBL2164746,86.32,COc1ccc2N=CC(=O)N(CCN3CC[C@H](NCc4ccc5OCC(=O)Nc5n4)[C@H](O)C3)c2c1
CHEMBL481605,95.23,CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(CCO)CC4
CHEMBL391565,71.05,COc1ccc(NC(=O)c2ccnc(N)n2)cc1
CHEMBL1090941,88.82,CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O
CHEMBL2016681,95.91,CC(C)(C)S(=O)(=O)N[C@@H]1CC[C@H](CC1)C(=O)Nc2ccc(cn2)C(F)(F)F
CHEMBL1934413,98.17,C[C@H](NC(=O)c1c(C)nn(C2CCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C
CHEMBL172714,94.9,Cc1oc2C=NN(B(O)c2c1)S(=O)(=O)c3ccc(C)cc3
CHEMBL1359777,98.4,Cc1cc(C(=O)CN2C=C(C=CC2=O)C(F)(F)F)c(C)n1Cc3ccccc3
CHEMBL2165067,75.55,COc1ccc2N=CC(=O)N(CCN3CC[C@@H](NCc4ccc5OCC(=O)Nc5n4)[C@@H](F)C3)c2c1
CHEMBL2179274,99.3,CCC[C@H](N1CCC[C@@H](C1)N2C=C(C)C(=O)NC2=O)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3
CHEMBL1921919,23.19,Cc1cc(CCC[N+]23CCC(CC2)[C@H](C3)OC(=O)[C@@](C)(N4CCCCC4)c5ccccc5)ccn1
CHEMBL1807823,52.88,O[C@@H](CNCCSCCCNCCc1ccccc1)c2ccc(O)c3NC(=O)Sc23
CHEMBL2180031,99.8,COc1c(C)cc(cc1C)C2(N=C(C)C(=N2)N)c3cccc(c3)c4cncc(c4)C#CC
CHEMBL1472189,96.26,COc1ccc(CC(=O)Nc2nc3ccccc3[nH]2)cc1
CHEMBL1412533,99.4,Clc1ccc(OCc2cn3ccccc3n2)c4ncccc14
CHEMBL477548,97.49,CC(C)Cc1c(C(=O)C(=O)N)c2c(OCC(=O)NS(=O)(=O)C)cccc2n1Cc3ccccc3
CHEMBL1088029,89.7,COc1cc(Nc2ncc(C)s2)nc(N[C@@H](C)c3ncc(F)cn3)n1
CHEMBL1309562,99.58,Cc1nc(N2CCOCC2)c3cc(sc3n1)c4ccccc4
CHEMBL2011932,97.07,COc1ccc(cc1)c2nc3c(NCCCNC(=O)C4(CN)CC4)c(Br)cnc3[nH]2
CHEMBL1904775,97.81,COc1ccc(Cl)cc1NC(=O)CCS(=O)(=O)c2ccc(C)cc2
CHEMBL213556,80.65,CC(CC(=O)OC(C)(C)C)NC(=O)C1=NOC(C1)C(O)(C(F)(F)F)C(F)(F)F
CHEMBL578194,95.12,C[C@H](Nc1nc(Nc2cc([nH]n2)C3CC3)cnc1C#N)c4ccc(F)cn4
CHEMBL957,98.7,COc1ccccc1Oc2c(NS(=O)(=O)c3ccc(cc3)C(C)(C)C)nc(nc2OCCO)c4ncccn4
CHEMBL1288278,73.81,NC(=O)c1ccc(cc1)c2cc3c(N[C@H]4CCCNC4)ncc(C(=O)N)c3s2
CHEMBL2323231,99.83,O=C(CSC1=NC2=C(SCC2)C(=O)N1c3ccccc3)Nc4ccc(cn4)c5ccccc5
CHEMBL1933593,65.06,C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)nc(OC(C4CC4)C(F)(F)F)nc23
CHEMBL321590,91.64,ONC(=O)C1COC(=N1)c2ccc(F)c(c2)C(F)(F)F
CHEMBL2011908,95.23,CNc1c(Br)cnc2[nH]c(nc12)c3ccc(cc3)S(=O)(=O)C
CHEMBL2331742,96,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C(=O)NC1=O
CHEMBL2069403,95.82,CN1CCN(CC1)c2cccc3OC[C@H](Cc23)NC(=O)c4nn(nc4C)c5ccccc5
CHEMBL1069,99.78,CCCCC(=O)N(Cc1ccc(cc1)c2ccccc2c3nnn[nH]3)[C@@H](C(C)C)C(=O)O
CHEMBL481401,95.63,CN1CCN(CC1)c2cc3c(Nc4cccc(Cl)c4Cl)c(cnc3cc2F)C(=O)N
CHEMBL258282,88.35,CN1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1
CHEMBL1950841,73.81,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCCN(CCc3ccccc3)C2
CHEMBL479446,92.16,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN4CCOCC4
CHEMBL385374,99.6,CCCC[C@H](NC[C@@H]1Cc2cccc(CCCCc3cc(cc(c3)C(=O)N1)N(CCC)S(=O)(=O)C)c2)C(=O)NCC(C)C
CHEMBL2181247,99.37,Fc1ccccc1c2ccnc3OCC(=O)N(Cc4cc(cc(c4)C(F)(F)F)C(F)(F)F)Cc23
CHEMBL235789,91.28,Clc1ccc(CN2CCNCC2)cc1C(=O)NCC34CC5CC(CC(C5)C3)C4
CHEMBL2207659,96.42,Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)c3c[nH]nc3C(F)(F)F)CC2
CHEMBL219916,96.65,Clc1ccc2N(C3CCN(CCCN4C(=O)Nc5ccccc45)CC3)C(=O)Nc2c1
CHEMBL570192,94.06,C[C@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3
CHEMBL25554,97.6,COc1cccc(OC)c1OCCNCC2COc3ccccc3O2
CHEMBL254832,98.84,CC(NCCC(c1ccccc1)c2ccccc2)c3ccccc3
CHEMBL2158441,96,Clc1cccc(Cl)c1CNC2=NC(=CC(=O)N2)N3CCOCC3
CHEMBL1900528,47.7,C[N+]1(C)[C@@H]2C[C@H](C[C@H]1[C@@H]3O[C@H]23)OC(=O)C(O)(c4cccs4)c5cccs5
CHEMBL1916281,98.73,CC(NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3)C(C)(C)C
CHEMBL462132,99.6,Cc1ncc(NC(=O)c2cc(NC(=O)c3cccc(c3)C(F)(F)F)ccc2Cl)s1
CHEMBL1586565,96.5,CN1CCN2C(C1)C3(Cc4ccccc24)C(=O)N(C)C(=O)N(C)C3=O
CHEMBL482552,99.91,O=C(Nc1ccc(CN2CCNCC2)cc1c3nc4ccccc4[nH]3)c5cnc6ccccc6n5
CHEMBL217943,96.93,Oc1c(ccc2cccnc12)C(=O)NCc3ccccc3
CHEMBL260091,96.42,C[C@@H](O)[C@H](NC(=O)c1ccc(cc1)C#Cc2ccc(CN3CCOCC3)cc2)C(=O)NO
CHEMBL1917431,98.73,Cc1c(Sc2ccc(Cl)cc2)c3cc(ccc3n1CC(=O)O)S(=O)(=O)C
CHEMBL373751,98.89,COc1cc2ncn(c3cc(OCc4ccccc4S(=O)(=O)C)c(C#N)s3)c2cc1OC
CHEMBL213495,98.29,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(cccc34)C#N
CHEMBL297685,88.11,Cn1c(nc2c(N)nc(nc12)C#CC3(O)CCCC3)c4cccc(F)c4
CHEMBL1650736,74.69,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc(N4CCOCC4)c2F)n[nH]1
CHEMBL714,22.79,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
CHEMBL48966,84,C(Cc1nc2ccccc2[nH]1)c3nc4ccccc4[nH]3
CHEMBL186995,86.59,Clc1ccccc1CNC(=O)c2cccnc2Oc3ccccc3
CHEMBL1503415,98.17,OC1=CC(=O)C2=C(O1)c3ccccc3N(C2=O)c4ccccc4
CHEMBL1829174,99.64,Cc1cc(OCCCS(=O)(=O)C)cc(C)c1c2cccc(COc3ccc4[C@H](CC(=O)O)COc4c3)c2
CHEMBL2059860,94.9,Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4c[nH]cn4
CHEMBL2165177,94.32,CN(Cc1cccc2ccccc12)C3=CC(=NC(=O)N3)N4CCOCC4
CHEMBL93124,98.89,CNc1ccc(cc1)c2nc3ccc(O)cc3s2
CHEMBL2349316,99.89,CC(C)C[C@H](CO)Nc1nc(S[C@@H](C)c2ccccc2F)nc3nc(N)sc13
CHEMBL2164360,98.89,CC(Cc1ccccn1)N2C(C(=O)NCc3ccc(OC(F)(F)F)cc3)c4ccccc4C2=O
CHEMBL2086675,99.03,CC(C)(C)OC(=O)N1CCN(CC1)c2ncc(OCc3ccncc3)cn2
CHEMBL526307,95.33,COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1I
CHEMBL63,82.72,COc1ccc(cc1OC2CCCC2)C3CNC(=O)C3
CHEMBL1818302,82.05,CN(C)CCC1CCN(CC1)c2cc(C(=O)NC[C@@H]3CC[C@@H](CNC(=O)OC4CCOCC4)CC3)c5ccccc5n2
CHEMBL1509029,99.9,Cc1ccc(cc1C)S(=O)(=O)Nc2ccc3nc(C)sc3c2
CHEMBL2062571,87.62,CC(=O)Nc1ccc2ccn(c3cc(NC4COC4)n5ncc(C#N)c5n3)c2c1
CHEMBL2331745,97.49,COc1ccc(cc1Oc2cccc(Cl)c2)S(=O)(=O)N3CCC[C@@H](C3)N4C=C(C)C(=O)NC4=O
CHEMBL1917438,99.68,Cc1c(Sc2ccc(Cl)cc2)c3c(cccc3n1CC(=O)O)c4ccccc4
CHEMBL1448843,73.36,O=C(CSc1ccccc1)N2CCN(CC2)C(=O)c3occc3
CHEMBL481220,98.29,CC(C)Oc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(C)CC4
CHEMBL361812,97.26,OC(=O)CCn1c2CC[C@H](Cc2c3ccccc13)NS(=O)(=O)c4ccc(F)cc4
CHEMBL2151177,98.09,COc1cc(Nc2nc(Cc3ccccc3)c4CN(CCO)CCc4n2)ccc1n5cnc(C)c5
CHEMBL196707,92.32,Cc1c(CC(=O)O)c2cc(F)ccc2n1S(=O)(=O)c3ccc(cc3)S(=O)(=O)C
CHEMBL1288221,99.61,NC(=O)c1cnc(N[C@H]2CCCNC2)c3cc(sc13)c4ccc(F)c(Cl)c4
CHEMBL606052,98.7,O=C1Nc2cc(ccc2C1c3ncnc4cc(OCCCN5CCOCC5)ccc34)C#N
CHEMBL2335900,94.56,C[C@@H](NC(=O)[C@H]1CCCNC1)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2
CHEMBL2179667,96.17,CC1=CN([C@H]2CCCN(Cc3ccc(C(=O)O)c(Oc4cccc(C)c4)c3)C2)C(=O)NC1=O
CHEMBL1092240,99.83,[O-][N+](=O)c1c(Nc2ccc(cc2)n3cncn3)ncnc1N4CCC(CC4)Sc5ccccn5
CHEMBL1916278,97.38,Cc1ccc(cc1)S(=O)(=O)Nc2c(C(=O)NC3CCOCC3)c(C)nn2c4ccccc4
CHEMBL554,99.74,CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2
CHEMBL1650697,52.88,C[C@H](Nc1ncc(F)c(Nc2cc(C)[nH]n2)n1)c3ncc(F)cn3
CHEMBL1916541,59.66,COc1ccc2C(=NC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1)C
CHEMBL2147221,99.5,COc1ncc(cn1)c2cccc(C)c2CCNC(=O)c3ccc(OCCC(F)(F)F)nc3
CHEMBL422649,90.91,CC(O)(C(=O)Nc1cccc(c1)S(=O)(=O)c2ccccc2)C(F)(F)F
CHEMBL372205,99.1,C[C@H](CN(C(=O)c1ccc(cc1)C#N)c2ccccn2)N3CCN(CC3)c4cccc5OCCOc45
CHEMBL2171038,89.49,Cc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL2179665,97.32,CC1=CN([C@H]2CCCN(Cc3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)C(=O)NC1=O
CHEMBL113,24.45,CN1C(=O)N(C)c2ncn(C)c2C1=O
CHEMBL2103840,90.12,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(nc12)N4CCCC[C@H]4CCO
CHEMBL1835918,93.8,Cc1onc(n1)c2ccc(OCC3CN(C3)c4ccc(C)nn4)cc2
CHEMBL2326623,98.44,COc1cccc2c1c(NS(=O)(=O)c3ccc(Cl)s3)nn2Cc4cccc(CNC(=O)[C@H]5COCCN5)c4
CHEMBL550637,71.99,Cc1ccc(cc1NC(=O)CC23CC4CC(CC(C4)C2)C3)C(=O)N5CC6CNCC(C5)O6
CHEMBL2331843,79.55,CCc1[nH]c2nc(Sc3cnc4ccc[n+]([O-])c4c3)nc(N5CC[C@@H](N)C5)c2c1Cl
CHEMBL2069423,96.34,COc1ncc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(COCC(F)(F)F)nc4
CHEMBL2313227,91.28,COCCN(c1cccnc1)P(=O)(c2ccccc2)c3ccccc3
CHEMBL496929,98.61,OCCc1ccc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)cc1
CHEMBL1431751,98.61,COc1cccc(c1)C(=O)N2C(CSC2c3ccccc3Cl)C(=O)O
CHEMBL1164033,99.71,CN(C)CCOc1cc(NS(=O)(=O)c2c(Cl)cc(cc2Cl)C(F)(F)F)ccc1Cl
CHEMBL2164741,79.17,O[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4cc5OCCOc5cn4
CHEMBL2164372,96.42,FC(F)(F)Oc1ccc(CNC(=O)C2N(C[C@@H]3CCCO3)C(=O)c4ccccc24)cc1
CHEMBL2348651,98.21,CNc1nc(C)c(s1)c2nc(Nc3cccc(c3)N4CCCN(CC4)C(=O)C)ncc2C#N
CHEMBL429,62.4,CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(=O)N
CHEMBL86,29.9,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
CHEMBL480221,89.7,COCCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(C)CC4
CHEMBL578201,82.72,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3
CHEMBL421236,99.01,C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)NC2C(=O)N(C)c3ccccc3c4ccccc24
CHEMBL2313309,67.63,Cc1csc(N)c1C(=O)N
CHEMBL1921936,96.87,C[C@@](N1CCCCC1)(C(=O)O[C@H]2C[N+]3(CCCOc4ccc(F)cc4)CCC2CC3)c5ccccc5
CHEMBL289330,45.98,CCN1CCC[C@H]1CNC(=O)c2cc(Br)cc(OC)c2OC
CHEMBL2179291,98.21,COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1
CHEMBL1807860,95.53,C[C@H]1O[C@H]([C@H](O)[C@H]1Cl)n2cnc3c(N)nc(OCC4CC45CC5)nc23
CHEMBL2031562,97.81,Nc1cc(cc(c1)C(F)(F)F)C(=O)Nc2cccc(c2)c3nnn[nH]3
CHEMBL1113,89.05,Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1
CHEMBL981,98.81,CC(C)(Oc1ccc(cc1)C(=O)c2ccc(Cl)cc2)C(=O)O
CHEMBL426851,68.13,CNc1nc2ccccc2n1Cc3sc4N(CC(C)C)C(=O)N(C)C(=O)c4c3C(=O)N5CC[C@@H](O)C5
CHEMBL408,99.91,Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O
CHEMBL398748,98.61,COc1ccc2c(C)cc(N[C@H]3CC[C@@H](C3)NCc4cn(C)c5ccc(cc45)C#N)nc2c1
CHEMBL1921931,99.25,C[C@@](N1CCCCC1)(C(=O)O[C@H]2C[N+]3(CCOc4ccc(Cl)cc4)CCC2CC3)c5ccccc5
CHEMBL551170,98.13,Clc1ccc(cc1C(=O)NCC23CC4CC(CC(C4)C2)C3)N5N=CC(=O)NC5=O
CHEMBL1080151,93.1,C[C@H](Nc1nc(Nc2ncc(C)s2)c(F)c(n1)N3CCOCC3)c4ncc(F)cn4
CHEMBL2151325,86.85,CCOc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c4ccc(F)cn4)n[nH]1
CHEMBL1963131,78.79,COc1ccc(cn1)[C@@]2(O)CC[C@H](CC2)N3CC[C@H](C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F
CHEMBL271013,95.43,C[C@H](CO)Nc1nc(SCc2ccccc2)nc3nc(N)sc13
CHEMBL2059875,98.89,Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4ccccn4
CHEMBL1916546,83.37,COc1cc2N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)C(=O)C=Cc2cn1
